idbusinessinfo,clientname,week,estimated_load_date,pre_etd,etd,eta,vessel_voyage,pol,pod,businessinfocol,numctrs,type_ctrs,booking_no,master_no,num_hbls,container_no,shipping_line,freeddday,cost_org,sale_org,set_org,local_org,venta_dest,costhbl_dest_description,costhbl_dest,costhbl_dest_status,topaid_org_description,topaid_org,topaid_status,toinvoice_dest_description,toinvoice_dest,toinvoice_dest_status,profit,hbl_canjeado_status,devolution_ctrs_inidate,devolution_ctrs_findate,operation_status,bl_type,release_type
35,öéASIAMERIC,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A900A,MEDUNP742319,,,MSC,14,16022,16100,16060,400,,,,,,,,,,,,,,,,,
36,èåWS CARGO,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A898A,MEDUNP740537,,,MSC,14,11440,12500,11825,0,,,,,,,,,,,,,,,,,
37,*–HONG,2021-W49,,2021-12-11,2022-01-03,2022-02-10,MSC ELISA FA148A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN0A857A,MEDUNP447802,,,MSC,14,11440,12500,11825,0,,,,,,,,,,,,,,,,,
38,èåWS CARGO,2022-W01,,2022-01-03,2022-01-09,2022-02-11,EVER LAWFUL - 0555-047E,NINGBO,"San Antonio,Chile",,1,40HQ,C232093915,YMLUC232093915,,,YML,21,15500,16200,15850,0,,,,,,,,,,,,,,,,,
39,,2022-W01,,2022-01-03,2022-01-09,,EVER LAWFUL - 0555-047E,NINGBO,"San Antonio,Chile",èå ´≈ü‡*˙,1,40HQ,C232093917,,,,YML,21,,,,0,,,,,,,,,,,,,,,,,
40,,2022-W01,,2022-01-03,2022-01-09,,EVER LAWFUL - 0555-047E,NINGBO,"San Antonio,Chile",*–  ´≈ü‡*˙,1,40HQ,C232093916,,,,YML,21,,,,0,,,,,,,,,,,,,,,,,
41,,2022-W02,,2022-01-15,2022-01-15,,MSC BERYL / FA201A,NINGBO,"San Antonio,Chile",NO ‰∫èËà± ,1,40HQ,177FNBNBN0A897A,,,,MSC,14,,,,500,,,,,,,,,,,,,,,,,
42,€~≈NUEVO SIGLO,2022-W02,,2022-01-15,2022-01-19,2022-03-06,MSC BERYL / FA201A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A005A,MEDUNV293851,,,MSC,14,14626,15500,15000,0,,,,,,,,,,,,,,,,,
43,€~≈NUEVO SIGLO,2022-W02,,2022-01-15,2022-01-19,2022-03-06,MSC BERYL / FA201A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A004A,MEDUNV293844,,,MSC,14,14626,15500,15000,0,,,,,,,,,,,,,,,,,
44,èåWS CARGO,2022-W02,,2022-01-15,2022-01-19,2022-03-06,MSC BERYL / FA201A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A006A,MEDUNV333095,,,MSC,14,14626,15500,15000,0,,,,,,,,,,,,,,,,,
45,èåWS CARGO,2022-W02,,2022-01-15,2022-01-19,2022-03-06,MSC BERYL / FA201A,NINGBO,"San Antonio,Chile",,1,40HQ,177FNBNBN1A007A,MEDUNV333103,,,MSC,14,14626,15500,15000,0,,,,,,,,,,,,,,,,,
